order_id;customer_id;order_date;delivery_due_date;priority_level;total_weight_kg;total_volume_cbm;pallet_count;goods_type;material;plant;storage_location;goods_sensitivity;pickup_location_id;delivery_location_id;promised_eta;order_status;price
ORD-0000001;CUST-00018;2026-02-09;2026-02-11;High;3650;8,12;16;Pharma;MAT-1739;BAN-PLANT;SL-11;Normal;WH-BAN-01;WH-HYD-01;2026-02-11 06:00;Confirmed;603053
ORD-0000002;CUST-02884;2026-01-13;2026-01-15;Medium;2606;13,36;19;Auto Parts;MAT-7288;BAN-PLANT;SL-7;Fragile;WH-BAN-01;WH-CHE-01;2026-01-15 06:00;Confirmed;556157
ORD-0000003;CUST-01657;2026-02-28;2026-03-02;Medium;3093;2,93;7;Auto Parts;MAT-9197;BAN-PLANT;SL-4;Temperature Controlled;WH-BAN-01;WH-MUM-01;2026-03-02 06:00;Confirmed;429755
ORD-0000004;CUST-01746;2026-03-15;2026-03-17;Low;614;8,34;1;Steel;MAT-1912;BAN-PLANT;SL-15;Hazardous;WH-BAN-01;WH-DEL-01;2026-03-17 06:00;Confirmed;711695
ORD-0000005;CUST-02074;2026-03-31;2026-04-02;Medium;2622;19,07;21;Auto Parts;MAT-8255;DEL-PLANT;SL-6;Normal;WH-DEL-01;WH-MUM-01;2026-04-02 06:00;Confirmed;687770
ORD-0000006;CUST-00674;2026-01-27;2026-01-29;High;2457;8,65;22;Textiles;MAT-8124;DEL-PLANT;SL-5;Normal;WH-DEL-01;WH-KOL-01;2026-01-29 06:00;Confirmed;190506
ORD-0000007;CUST-02039;2026-03-10;2026-03-12;Medium;2440;6,28;20;Auto Parts;MAT-4590;DEL-PLANT;SL-2;Temperature Controlled;WH-DEL-01;WH-JAI-01;2026-03-12 06:00;Confirmed;210789
ORD-0000008;CUST-01746;2026-02-23;2026-02-25;Medium;3023;18,07;25;Electronics;MAT-7209;MUM-PLANT;SL-7;Normal;WH-MUM-01;WH-AHM-01;2026-02-25 06:00;Confirmed;457554
ORD-0000009;CUST-02884;2026-01-01;2026-01-03;High;3100;15,13;24;Electronics;MAT-5062;MUM-PLANT;SL-14;Normal;WH-MUM-01;WH-PUN-01;2026-01-03 06:00;Confirmed;788300
ORD-0000010;CUST-02583;2026-03-28;2026-03-30;High;1141;21,48;13;FMCG;MAT-9441;MUM-PLANT;SL-9;Fragile;WH-MUM-01;WH-SUR-01;2026-03-30 06:00;Confirmed;449610
ORD-0000011;CUST-00457;2026-03-08;2026-03-10;Low;1505;14,22;21;Steel;MAT-6457;CHE-PLANT;SL-13;Normal;WH-CHE-01;WH-HYD-01;2026-03-10 06:00;Confirmed;611227
ORD-0000012;CUST-00135;2026-03-22;2026-03-24;Low;2460;1,98;3;Steel;MAT-3360;CHE-PLANT;SL-12;Hazardous;WH-CHE-01;WH-KOL-01;2026-03-24 06:00;Confirmed;145685
ORD-0000013;CUST-00567;2026-02-06;2026-02-08;Medium;1063;5,32;18;Electronics;MAT-2425;CHE-PLANT;SL-3;Normal;WH-CHE-01;WH-BAN-01;2026-02-08 06:00;Confirmed;247069
ORD-0000014;CUST-02535;2026-03-09;2026-03-11;Low;1071;1,07;20;Steel;MAT-4157;KOL-PLANT;SL-8;Fragile;WH-KOL-01;WH-GUW-01;2026-03-11 06:00;Confirmed;188656
ORD-0000015;CUST-00408;2026-02-24;2026-02-26;Low;2224;23,63;8;Auto Parts;MAT-6793;KOL-PLANT;SL-11;Fragile;WH-KOL-01;WH-BHU-01;2026-02-26 06:00;Confirmed;588215
ORD-0000016;CUST-01371;2026-02-04;2026-02-06;Medium;1525;16,58;7;Textiles;MAT-4646;PUN-PLANT;SL-7;Temperature Controlled;WH-PUN-01;WH-NAG-01;2026-02-06 06:00;Confirmed;565342
ORD-0000017;CUST-02164;2026-01-16;2026-01-18;High;1186;13,24;3;Auto Parts;MAT-1589;HYD-PLANT;SL-1;Hazardous;WH-HYD-01;WH-VIZ-01;2026-01-18 06:00;Confirmed;632873
ORD-0000018;CUST-02365;2026-02-22;2026-02-24;High;3506;23,93;12;Electronics;MAT-7976;AHM-PLANT;SL-6;Normal;WH-AHM-01;WH-JAI-01;2026-02-24 06:00;Confirmed;544048
ORD-0000019;CUST-01492;2026-01-28;2026-01-30;High;2123;11,78;15;Steel;MAT-2492;LUC-PLANT;SL-7;Hazardous;WH-LUC-01;WH-DEL-01;2026-01-30 06:00;Confirmed;505100
ORD-0000020;CUST-02299;2026-02-28;2026-03-02;Medium;1346;1,17;18;Pharma;MAT-7785;IND-PLANT;SL-14;Normal;WH-IND-01;WH-MUM-01;2026-03-02 06:00;Confirmed;635837
ORD-0000021;CUST-02976;2026-01-08;2026-01-10;Medium;3493;2,83;7;Auto Parts;MAT-6732;COI-PLANT;SL-9;Normal;WH-COI-01;WH-CHE-01;2026-01-10 06:00;Confirmed;190023
ORD-0000022;CUST-01477;2026-03-03;2026-03-05;High;2315;19,99;22;Textiles;MAT-7496;PAT-PLANT;SL-1;Fragile;WH-PAT-01;WH-KOL-01;2026-03-05 06:00;Confirmed;578268
ORD-0000023;CUST-02665;2026-02-25;2026-02-27;Medium;1330;24,99;12;Auto Parts;MAT-9493;RAN-PLANT;SL-4;Fragile;WH-RAN-01;WH-DEL-01;2026-02-27 06:00;Confirmed;254871
ORD-0000024;CUST-02860;2026-02-18;2026-02-20;Low;345;6,96;16;Pharma;MAT-5315;GUW-PLANT;SL-9;Temperature Controlled;WH-GUW-01;WH-SIL-01;2026-02-20 06:00;Confirmed;155846
ORD-0000025;CUST-02985;2026-04-01;2026-04-03;Low;3445;13,64;17;Auto Parts;MAT-2843;BAN-PLANT;SL-9;Temperature Controlled;WH-BAN-01;WH-MYS-01;2026-04-03 06:00;Confirmed;334082
ORD-0000026;CUST-01349;2026-03-30;2026-04-01;Medium;2515;6,58;1;Textiles;MAT-4521;BAN-PLANT;SL-4;Temperature Controlled;WH-BAN-01;WH-HYD-01;2026-04-01 06:00;Confirmed;652308
ORD-0000027;CUST-00562;2026-02-23;2026-02-25;Low;2706;23,06;29;Steel;MAT-8386;BAN-PLANT;SL-12;Hazardous;WH-BAN-01;WH-CHE-01;2026-02-25 06:00;Confirmed;116722
ORD-0000028;CUST-00400;2026-03-11;2026-03-13;Low;1442;18,85;3;Pharma;MAT-8274;BAN-PLANT;SL-12;Fragile;WH-BAN-01;WH-MUM-01;2026-03-13 06:00;Confirmed;237839
ORD-0000029;CUST-02236;2026-01-25;2026-01-27;Low;3211;23,81;2;Electronics;MAT-8183;BAN-PLANT;SL-11;Normal;WH-BAN-01;WH-DEL-01;2026-01-27 06:00;Confirmed;505061
ORD-0000030;CUST-02781;2026-01-19;2026-01-21;High;2095;24,97;25;Electronics;MAT-7115;DEL-PLANT;SL-4;Fragile;WH-DEL-01;WH-MUM-01;2026-01-21 06:00;Confirmed;496713
ORD-0000031;CUST-00340;2026-03-18;2026-03-20;Low;3230;5,92;10;Steel;MAT-1335;DEL-PLANT;SL-2;Temperature Controlled;WH-DEL-01;WH-KOL-01;2026-03-20 06:00;Confirmed;494170
ORD-0000032;CUST-01125;2026-01-24;2026-01-26;Low;895;5,88;30;Steel;MAT-6460;DEL-PLANT;SL-5;Fragile;WH-DEL-01;WH-JAI-01;2026-01-26 06:00;Confirmed;328991
ORD-0000033;CUST-00970;2026-02-15;2026-02-17;Medium;925;20,16;5;Auto Parts;MAT-2525;MUM-PLANT;SL-8;Hazardous;WH-MUM-01;WH-AHM-01;2026-02-17 06:00;Confirmed;324798
ORD-0000034;CUST-01554;2026-02-22;2026-02-24;Low;2733;4,08;30;Machinery;MAT-9310;MUM-PLANT;SL-4;Fragile;WH-MUM-01;WH-PUN-01;2026-02-24 06:00;Confirmed;790129
ORD-0000035;CUST-02286;2026-03-13;2026-03-15;High;2513;5,05;7;Electronics;MAT-7625;MUM-PLANT;SL-12;Temperature Controlled;WH-MUM-01;WH-SUR-01;2026-03-15 06:00;Confirmed;366784
ORD-0000036;CUST-02677;2026-02-20;2026-02-22;Low;3176;10,49;5;Pharma;MAT-2121;CHE-PLANT;SL-13;Normal;WH-CHE-01;WH-HYD-01;2026-02-22 06:00;Confirmed;746473
ORD-0000037;CUST-01698;2026-02-26;2026-02-28;Low;1386;3,54;12;Electronics;MAT-3027;CHE-PLANT;SL-6;Temperature Controlled;WH-CHE-01;WH-KOL-01;2026-02-28 06:00;Confirmed;627191
ORD-0000038;CUST-00421;2026-02-08;2026-02-10;Low;2425;14,69;21;FMCG;MAT-3066;CHE-PLANT;SL-1;Temperature Controlled;WH-CHE-01;WH-BAN-01;2026-02-10 06:00;Confirmed;715214
ORD-0000039;CUST-02271;2026-01-16;2026-01-18;Low;2987;9,35;19;Machinery;MAT-7854;KOL-PLANT;SL-8;Normal;WH-KOL-01;WH-GUW-01;2026-01-18 06:00;Confirmed;423031
ORD-0000040;CUST-01121;2026-01-03;2026-01-05;Medium;3257;16,53;18;Auto Parts;MAT-6310;KOL-PLANT;SL-2;Normal;WH-KOL-01;WH-BHU-01;2026-01-05 06:00;Confirmed;291761
ORD-0000041;CUST-00739;2026-02-07;2026-02-09;Low;3712;22,42;23;Machinery;MAT-9947;PUN-PLANT;SL-15;Normal;WH-PUN-01;WH-NAG-01;2026-02-09 06:00;Confirmed;478751
ORD-0000042;CUST-02494;2026-01-25;2026-01-27;Medium;512;18,9;29;Textiles;MAT-2381;HYD-PLANT;SL-8;Normal;WH-HYD-01;WH-VIZ-01;2026-01-27 06:00;Confirmed;87579
ORD-0000043;CUST-01147;2026-01-25;2026-01-27;Medium;3428;15,85;27;Auto Parts;MAT-8785;AHM-PLANT;SL-14;Normal;WH-AHM-01;WH-JAI-01;2026-01-27 06:00;Confirmed;532726
ORD-0000044;CUST-02238;2026-02-25;2026-02-27;Medium;1477;9,56;29;Steel;MAT-6136;LUC-PLANT;SL-11;Fragile;WH-LUC-01;WH-DEL-01;2026-02-27 06:00;Confirmed;336515
ORD-0000045;CUST-00723;2026-03-10;2026-03-12;High;509;20,93;28;Electronics;MAT-1756;IND-PLANT;SL-9;Fragile;WH-IND-01;WH-MUM-01;2026-03-12 06:00;Confirmed;329984
ORD-0000046;CUST-00973;2026-01-31;2026-02-02;High;2181;15,59;30;Steel;MAT-4640;COI-PLANT;SL-3;Temperature Controlled;WH-COI-01;WH-CHE-01;2026-02-02 06:00;Confirmed;489107
ORD-0000047;CUST-02262;2026-02-08;2026-02-10;Medium;2525;23,18;30;Auto Parts;MAT-9902;PAT-PLANT;SL-10;Normal;WH-PAT-01;WH-KOL-01;2026-02-10 06:00;Confirmed;674293
ORD-0000048;CUST-01897;2026-01-06;2026-01-08;Low;2466;9,61;5;Steel;MAT-4167;RAN-PLANT;SL-12;Fragile;WH-RAN-01;WH-DEL-01;2026-01-08 06:00;Confirmed;97978
ORD-0000049;CUST-01552;2026-03-13;2026-03-15;High;2574;21,78;25;Machinery;MAT-3910;GUW-PLANT;SL-10;Hazardous;WH-GUW-01;WH-SIL-01;2026-03-15 06:00;Confirmed;512266
ORD-0000050;CUST-00147;2026-02-24;2026-02-26;Medium;3998;6,73;9;Machinery;MAT-9404;BAN-PLANT;SL-15;Hazardous;WH-BAN-01;WH-MYS-01;2026-02-26 06:00;Confirmed;780458
ORD-0000051;CUST-01812;2026-02-13;2026-02-15;Low;2098;8,86;24;FMCG;MAT-5596;BAN-PLANT;SL-11;Temperature Controlled;WH-BAN-01;WH-HYD-01;2026-02-15 06:00;Confirmed;297021
ORD-0000052;CUST-00209;2026-01-18;2026-01-20;Medium;592;9,18;16;Machinery;MAT-6584;BAN-PLANT;SL-15;Fragile;WH-BAN-01;WH-CHE-01;2026-01-20 06:00;Confirmed;493353
ORD-0000053;CUST-02417;2026-03-16;2026-03-18;Medium;2591;13,66;4;Pharma;MAT-6023;BAN-PLANT;SL-15;Hazardous;WH-BAN-01;WH-MUM-01;2026-03-18 06:00;Confirmed;462694
ORD-0000054;CUST-01032;2026-03-23;2026-03-25;High;1891;16,13;20;Machinery;MAT-1337;BAN-PLANT;SL-14;Hazardous;WH-BAN-01;WH-DEL-01;2026-03-25 06:00;Confirmed;601413
ORD-0000055;CUST-00793;2026-02-12;2026-02-14;High;2275;4,18;9;Pharma;MAT-7581;DEL-PLANT;SL-13;Hazardous;WH-DEL-01;WH-MUM-01;2026-02-14 06:00;Confirmed;717323
ORD-0000056;CUST-02000;2026-01-16;2026-01-18;Low;1331;16,71;1;Textiles;MAT-7442;DEL-PLANT;SL-13;Fragile;WH-DEL-01;WH-KOL-01;2026-01-18 06:00;Confirmed;594488
ORD-0000057;CUST-00371;2026-02-25;2026-02-27;Low;2608;6,02;13;Pharma;MAT-1211;DEL-PLANT;SL-5;Hazardous;WH-DEL-01;WH-JAI-01;2026-02-27 06:00;Confirmed;503122
ORD-0000058;CUST-02185;2026-01-21;2026-01-23;Low;804;20,47;10;Electronics;MAT-2459;MUM-PLANT;SL-4;Normal;WH-MUM-01;WH-AHM-01;2026-01-23 06:00;Confirmed;505410
ORD-0000059;CUST-01368;2026-01-07;2026-01-09;Medium;2518;22,48;26;Textiles;MAT-5407;MUM-PLANT;SL-7;Hazardous;WH-MUM-01;WH-PUN-01;2026-01-09 06:00;Confirmed;169685
ORD-0000060;CUST-02324;2026-03-28;2026-03-30;High;3869;10,82;13;Electronics;MAT-7759;MUM-PLANT;SL-15;Normal;WH-MUM-01;WH-SUR-01;2026-03-30 06:00;Confirmed;63500
ORD-0000061;CUST-02782;2026-01-11;2026-01-13;Medium;668;21,6;1;Textiles;MAT-4105;CHE-PLANT;SL-8;Fragile;WH-CHE-01;WH-HYD-01;2026-01-13 06:00;Confirmed;616137
ORD-0000062;CUST-01947;2026-03-14;2026-03-16;Medium;3989;3,09;23;Auto Parts;MAT-3125;CHE-PLANT;SL-5;Normal;WH-CHE-01;WH-KOL-01;2026-03-16 06:00;Confirmed;243376
ORD-0000063;CUST-00823;2026-03-30;2026-04-01;Medium;3681;4,3;23;Electronics;MAT-2717;CHE-PLANT;SL-6;Fragile;WH-CHE-01;WH-BAN-01;2026-04-01 06:00;Confirmed;673055
