route_id;origin_city;destination_city;origin_warehouse_id;destination_warehouse_id;distance_km;standard_transit_time_hours;toll_cost_estimate;fuel_cost_estimate;congestion_score;weather_risk_score;historical_ontime_percentage;route_status;route_congestion_score
R-BLR-MYS;Bangalore;Mysore;WH-BAN-01;WH-MYS-01;150;3;5433;18264;37;16;89;Active;0,11
R-BLR-HYD;Bangalore;Hyderabad;WH-BAN-01;WH-HYD-01;570;8;4777;11026;68;45;86;Active;0,85
R-BLR-CHN;Bangalore;Chennai;WH-BAN-01;WH-CHE-01;350;6;8991;5557;77;13;96;Active;0,55
R-BLR-MUM;Bangalore;Mumbai;WH-BAN-01;WH-MUM-01;980;16;11394;14198;48;23;81;Active;0,41
R-BLR-DEL;Bangalore;Delhi;WH-BAN-01;WH-DEL-01;2150;36;6141;13022;71;20;81;Active;0,11
R-DEL-MUM;Delhi;Mumbai;WH-DEL-01;WH-MUM-01;1420;24;9247;9640;61;41;83;Active;0,28
R-DEL-KOL;Delhi;Kolkata;WH-DEL-01;WH-KOL-01;1530;26;13157;16476;55;9;92;Active;0,29
R-DEL-JAI;Delhi;Jaipur;WH-DEL-01;WH-JAI-01;280;5;12836;15185;78;12;96;Active;0,65
R-MUM-AHM;Mumbai;Ahmedabad;WH-MUM-01;WH-AHM-01;530;9;10451;11479;45;7;91;Active;0,59
R-MUM-PUNE;Mumbai;Pune;WH-MUM-01;WH-PUN-01;150;3;13038;13611;51;6;81;Active;0,77
R-MUM-SUR;Mumbai;Surat;WH-MUM-01;WH-SUR-01;280;5;9100;8073;88;32;96;Active;0,24
R-CHN-HYD;Chennai;Hyderabad;WH-CHE-01;WH-HYD-01;630;10;8636;5395;76;57;91;Active;0,41
R-CHN-KOL;Chennai;Kolkata;WH-CHE-01;WH-KOL-01;1670;28;4550;19489;95;36;80;Active;0,25
R-CHN-BLR;Chennai;Bangalore;WH-CHE-01;WH-BAN-01;350;6;10569;19601;58;27;78;Active;0,7
R-KOL-GUW;Kolkata;Guwahati;WH-KOL-01;WH-GUW-01;1030;18;5194;10663;76;54;78;Active;0,44
R-KOL-BHU;Kolkata;Bhubaneswar;WH-KOL-01;WH-BHU-01;440;7;11171;16280;94;23;90;Active;0,27
R-PUNE-NAG;Pune;Nagpur;WH-PUN-01;WH-NAG-01;710;12;4506;14542;75;8;90;Active;0,55
R-HYD-VIZ;Hyderabad;Vizag;WH-HYD-01;WH-VIZ-01;620;10;12039;11924;94;53;82;Active;0,13
R-AHM-JAI;Ahmedabad;Jaipur;WH-AHM-01;WH-JAI-01;670;11;14909;15536;93;31;89;Active;0,77
R-LKO-DEL;Lucknow;Delhi;WH-LUC-01;WH-DEL-01;550;9;10739;17952;58;34;97;Active;0,46
R-IND-MUM;Indore;Mumbai;WH-IND-01;WH-MUM-01;590;10;7327;5326;81;52;94;Active;0,42
R-COI-CHN;Coimbatore;Chennai;WH-COI-01;WH-CHE-01;500;8;14982;10316;60;6;89;Active;0,84
R-PAT-KOL;Patna;Kolkata;WH-PAT-01;WH-KOL-01;600;10;5377;7538;45;25;82;Active;0,68
R-RAN-DEL;Ranchi;Delhi;WH-RAN-01;WH-DEL-01;1200;20;11236;15254;58;17;88;Active;0,36
R-GUW-SIL;Guwahati;Siliguri;WH-GUW-01;WH-SIL-01;480;8;10663;8309;36;21;81;Active;0,56
